rank,team,solved,penalty,problems
50,saucy-stifle-129,750,706,512 1 try | score_cell || 520 1 try | score_cell || 545 2 tries | score_cell || 691 5 tries | score_cell
51,exceeding-untrained-790,750,806,722 1 try | score_cell || 730 1 try | score_cell || 784 2 tries | score_cell || 800 2 tries | score_cell
52,obvious-finalist-600,750,827,1 1 try | score_cell || 11 1 try | score_cell || 141 5 tries | score_cell || 785 11 tries | score_cell
53,crazily-smoking-615,750,855,774 1 try | score_cell || 805 2 tries | score_cell || 835 3 tries | score_cell || 846 1 try | score_cell
54,scouring-sprinkled-1099,750,863,790 1 try | score_cell || 796 1 try | score_cell || 808 2 tries | score_cell || 857 2 tries | score_cell
55,silenced-customer-733,750,865,690 1 try | score_cell || 704 1 try | score_cell || 852 4 tries | score_cell || 856 1 try | score_cell
56,sterilize-cheesy-380,750,891,15 1 try | score_cell || 35 2 tries | score_cell || 861 7 tries | score_cell || 318 4 tries | score_cell
57,bristle-legible-292,750,899,87 1 try | score_cell || 92 1 try | score_cell || 893 2 tries | score_cell || 832 2 tries | score_cell
58,profile-deviation-69,550,90,66 1 try | score_cell || 72 1 try | score_cell || score_cell || 87 2 tries | score_cell
59,charcoal-squeeze-1482,550,467,123 1 try | score_cell || 130 1 try | score_cell || score_cell || 464 2 tries | score_cell
60,skyline-reviver-1422,400,25,7 1 try | score_cell || 23 1 try | score_cell || 25 1 try | score_cell || score_cell
61,twentieth-slain-343,400,33,6 1 try | score_cell || 13 1 try | score_cell || 33 1 try | score_cell || score_cell
62,fox-emoticon-72,400,38,17 1 try | score_cell || 26 2 tries | score_cell || 32 2 tries | score_cell || score_cell
63,establish-frosted-710,400,39,6 1 try | score_cell || 17 1 try | score_cell || 36 2 tries | score_cell || score_cell
,finisher-earthlike-677,400,39,7 1 try | score_cell || 22 1 try | score_cell || 36 2 tries | score_cell || 1 try | score_cell
65,scuba-flask-1082,400,43,14 1 try | score_cell || 26 1 try | score_cell || 43 1 try | score_cell || 6 tries | score_cell
66,groove-nineteen-1218,400,48,18 1 try | score_cell || 23 1 try | score_cell || 45 2 tries | score_cell || score_cell
67,smite-fool-725,400,49,28 1 try | score_cell || 31 1 try | score_cell || 43 3 tries | score_cell || score_cell
68,unending-harmony-188,400,51,30 1 try | score_cell || 34 1 try | score_cell || 42 4 tries | score_cell || score_cell
69,unturned-educator-1445,400,58,14 1 try | score_cell || 27 1 try | score_cell || 52 3 tries | score_cell || 2 tries | score_cell
70,disparity-drainable-901,400,63,8 1 try | score_cell || 51 2 tries | score_cell || 45 4 tries | score_cell || 2 tries | score_cell
71,useable-earflap-375,400,65,17 1 try | score_cell || 35 1 try | score_cell || 62 2 tries | score_cell || score_cell
